set	id	turn1	turn2	turn3	turn4	turn5	turn6
train	chain2_1889_1234_863_466_1009_149	Will you call my husband?	If you need me to. What should I tell him?	Tell him I will be late	Fine, though you could really do that yourself.	I'm making the pie filling and I don't want to get jam all over the phone.	Oh, no problem. I'll call him.
train	chain2_1553_1222_277_331_717_951	Did the car get dented up?	No, it didn't.	Is the other car okay?	No, more like a total loss.	Did anyone get hurt?	No, the other driver was totally drunk but somehow came out without a scratch.
train	chain2_630_558_117_788_270_29	Is there anything on TV tonight?	I don't know. Look it up on your phone.	Alright, just give me one second.	One. Time's up!	You knew what I meant smartie pants!	I KNOW, I KNOW YOU HATE HOW LITERAL I AM.
train	chain2_1678_487_1116_737_505_315	Can you even cook?	yes, I can cook very delicious meals.	Maybe one day I can taste your cooking.	This weekend? We could get a dinner party going.	Sounds good. Who shall we invite?	How about Jack and Diane?
train	chain2_2126_410_782_989_802_493	Is it a bad thing that I don't receive my medication in time?	Yes. Medication should be taken in a timely manner.	Who can I complain to?	You should call the head nurse.	What is the head nurse's name?	I don't know but I bet if you press that red button someone will show up
train	chain3_306_246_121_236_54_96	Can you pick me up?	Yes, whenever you are ready.	I'm ready right now, come right now!	Ok I'm on my way	Call me when you get here.	Okay, sure thing.
train	chain2_111_346_989_1153_729_256	What is the next step?	The next step is my foot in your...	Why are you so mad at me?	Because you always ask me really stupid questions	I'm not trying to bother you; I just need to understand what to do next	I'm sorry, I'm just really frustrated right now.
train	chain2_1575_124_862_462_917_773	Is it raining outside?	No, but it might rain later today.	Will it get colder, too?	I'm not positive, but a taking a sweater with you might be smart.	I will. Thanks for the warning!	You're welcome, have a good time.
train	chain2_1987_264_796_1065_337_275	What room is he in?	He's down the hall in room 112.	How long has he been there?	For about 2 weeks.	What has he been doing all this time?	I am not at liberty to say what has been going on in his room, but you are more than welcome to go see him.
train	chain3_76_201_2_17_34_60	Did you mow the lawn today?	No, I didn't. Do it yourself.	I am the mother and you are the child. Go and mow the lawn now.	Prove you're my mother!	A smack upside your head should prove it.	How will you hitting me prove anything?
train	chain2_193_744_1137_833_1022_603	What do you think it means?	He is just not that into you!	Well that's a little harsh, you don't know that!	No but I'll bet my next paycheck on it.	Well I will take that bet.	Be prepared to lose.
train	chain2_1997_570_363_757_1217_227	Do you know the time of her flight?	I have to look it up	I was hoping to say goodbye before she left.	She'll be back on Monday. It's only a short business trip this time.	I don't know what I'll do with myself until she gets back.	We could hang out together on Saturday.
train	chain2_142_1070_230_137_1106_513	Where are your dressing rooms?	at the back on the left	Can I bring all of these clothes in with me?	Only if you promise not to steal anything.	What is that supposed to mean? You know what; never mind!	Sorry, just trying to be funny.
train	chain2_689_1508_306_492_370_1086	What is the weather like?	IT'S SUNNY OUTSIDE.	I think I will do some gardening today.	That sounds like fun!	I love watching my flowers bloom.	Mind If I help? I love blooming flowers more than life itself.
train	chain2_79_779_1073_478_845_505	Can you open the door for me?	YES, SURE I CAN.	Thank you very much, son.	You are very welcome father.	Now go and clean that trash heap you call your room.	But I don't even live here anymore
train	chain3_2_34_75_148_278_146	Who is this and where do you want me to pick you up ?	It's Bill, and I need you to pick me up at the store.	I will be right there, don't go anywhere.	Ok I'm out front by the kids electric train.	Ok. I will be there in about 10 minutes.	Please hurry, this train is driving me nuts.
train	chain2_1168_76_929_812_950_143	What do you think about that?	I think its dumb	Oh yeah? Well...you're dumb.So there.	Well you're dumber!	Maybe we could make a movie, Dumb and Dumber.	If you think that movie would be a success your even dumber than dumber!
train	chain3_132_293_210_9_7_8	Can you turn up the volume on the television?	Sure, as soon as I find the remote.	Can't we just go up to the television to turn it up?	yeah if i wanted to	You may be the laziest person I know.	Then again, it may be someone else.
train	chain3_88_222_56_113_214_33	What did Jon say?	He said you were drunk and were trying to flirt with him.	I cant beleive it!	I've seen you drunk. I can believe it!	Trust me: Jon just isn't my type, no matter how drunk I may be.	If you say so...
train	chain2_112_1351_61_349_49_909	Could you come over?	I CAN COME LATER TODAY.	Ok, I'll be waiting.	Want me to pick up anything?	Yes, a box of KFC would be great.	okay will bring.
train	chain3_412_19_40_82_149_246	Did you remember to take your library books back on Tuesday?	Yes, stop nagging me!	Don't talk to me like that ,  I was trying to help	It's not helping if I don't want you to do it.	Well I'm your mother so I will nag you if I think you need it.	The only thing that keeps me from running away, is dinner!
train	chain2_1436_218_762_907_1203_154	Did you get a gift?	yes a starbucks card	Do you like Starbucks?	Yes but they're expensive.	But their coffee is sure good.	There really is no comparison.
train	chain2_1741_520_716_653_787_738	Has the doctor arrived?	NO, NOT YET.	But we have waited as the first in line for two hours!	I'm sorry, he's really busy.	This is a medical urgency!	I will go find out what's the hold up. give me a moment please.
train	chain2_1911_801_565_1283_1178_576	How was your weekend?	Just fantastic.  How was yours?	It was fun. I went to the amusement park.	WHAT RIDES DID YOU RIDE WHILE AT THE PARK?	I went on a few roller coasters.	Do they have the nasty one with all the loops?
train	chain3_196_411_46_92_166_272	What movies are in your top 5 of all time?	Police Academy, Police Academy II, Police Academy:Mission To Moscow, Baby Geniuses and Metropolis.	I see you like the deep intellectual stuff. Nice	Yeah, that's why we aren't friends.	Then why are you standing here talking to me?	I'm conducting interviews with people who enjoy trivial movies.
train	chain2_589_135_1087_549_378_792	Are you kidding me?	Yes, I was.	Well that was inappropriate.	I'm sorry, I won't do that again.	Thank you. Let's talk about something else now.	What do you want to talk about?
train	chain2_1594_813_580_1298_450_330	When will it be fixed?	I would estimate it should be fixed by tomorrow.	What time tomorrow?	Probably seven o'clock. I'm not sure, of course, as I can't see into the future.	Well if it's done by seven we can get dinner afterwards.	I'd like that. Where would you like to go?
train	chain2_339_342_204_20_552_221	Did she agree to go with you to the party?	No she did not.	Well, just mark her off the list for future adventures.	Doesn't that sound kind of harsh?	Yeah maybe a little, but it is better to be safe than sorry where the heart is concerned.	I don't know dude, you've got to give people second chances.
train	chain3_286_200_397_368_289_174	How was the gym?	My workout today was really hard.	Well it will get easier the more you work out	I think it's easier to just quit.	It is but not as rewarding.	True, maybe I'll keep on for a while yet.
train	chain2_223_1470_1083_527_652_15	When will you call me?	I'll give you a call Friday when I'm off work, sometime after 5pm, and we can make arrangements.	Change that to 6pm, 5 is dinner time.	How about you call me when you are done with dinner?	That sounds like a plan.	I'll check movie times at the new cineplex. Any preference?
train	chain2_872_90_678_452_225_461	Could you help me get dressed?	Of course, I can help you.	That is nice of you.	Would you like the blue sweater or the white one?	I'd like the blue one, thanks.	Grey or beige pants?
train	chain2_1561_1484_884_607_604_440	How are you doing?	I am doing well.  How are you doing?	Doing as well as can be expected, I guess.	Are you sure everything is okay?	No, do you want the long or short version?	I've got time. Whatever version you want to tell is fine.
train	chain3_413_20_42_86_155_254	Did you see that white poodle running around?	Yes. I hope he found his way home.	His owners seem pretty irresponsible.	I hope they are out looking for him.	Let's take him home and sell him on eBay.	Wow, you're horrible!
train	chain2_1814_1173_125_829_800_977	Where are my keys?	They are on the side table.	Who put them there?	You did, when your phone rang.	Right, I can be forgetful sometimes.	I find it helps if I put mine by the door all the time.
train	chain3_416_25_51_102_189_295	What's your favorite hobby?	I enjoy treasure hunting.	Where do you go treasure hunting?	The tropics are the best!	Oh, that sounds nice. Do you need a traveling companion?	I usually travel with my dog.
train	chain2_837_449_1002_8_134_905	Did you enjoy your meal?	Yes, it was quite good	Would you like dessert?	If I eat dessert, my stomach will explode.	Okay, no dessert for you then.	I could go for a coffee though.
train	chain2_1574_1279_1000_1173_539_488	Would you like to order a pizza for us?	Okay, tell me what you want on it.	Just cheese, please, extra if you don't mind.	Oh, add mushrooms too.	What about sausage and salami?	screw it we will get everything
